PC_Test_ID,Batch_ID,Product,Production_Line,Test_Date,Month_Year,Analyst,pH_Value,pH_Min,pH_Max,pH_Result,Moisture_Pct,Moisture_Limit,Moisture_Result,Purity_Pct,Purity_Min,Purity_Result,Overall_Status
PHY-0140,BCH-2022-0140,Chickpea Snacks,Line B,2022-08-16 00:00:00,Aug-2022,Karthik V.,6.22,4.5,6.5,PASS,3.26,3.5,PASS,95.5,92,PASS,PASS
PHY-0141,BCH-2022-0141,Banana Chips,Line C,2022-08-17 00:00:00,Aug-2022,Divya N.,4.73,4.5,6.5,PASS,2.87,3.5,PASS,95.0,92,PASS,PASS
PHY-0142,BCH-2022-0142,Sweet Potato Chips,Line D,2022-08-18 00:00:00,Aug-2022,Suresh B.,5.12,4.5,6.5,PASS,1.8,3.5,PASS,93.8,92,PASS,PASS
PHY-0143,BCH-2022-0143,Masala Peanuts,Line E,2022-08-20 00:00:00,Aug-2022,Leena D.,4.5,4.5,6.5,PASS,1.59,3.5,PASS,92.9,92,PASS,PASS
PHY-0144,BCH-2022-0144,Tapioca Crisps,Line F,2022-08-21 00:00:00,Aug-2022,Sagar A.,4.92,4.5,6.5,PASS,2.53,3.5,PASS,94.7,92,PASS,PASS
PHY-0145,BCH-2022-0145,Jackfruit Chips,Line A,2022-08-23 00:00:00,Aug-2022,Priya S.,4.81,4.5,6.5,PASS,3.38,3.5,PASS,97.3,92,PASS,PASS
PHY-0146,BCH-2022-0146,Okra Chips,Line B,2022-08-26 00:00:00,Aug-2022,Anand M.,4.84,4.5,6.5,PASS,3.01,3.5,PASS,92.6,92,PASS,PASS
PHY-0147,BCH-2022-0147,Roasted Corn,Line C,2022-08-27 00:00:00,Aug-2022,Meena R.,5.91,4.5,6.5,PASS,2.05,3.5,PASS,98.3,92,PASS,PASS
PHY-0148,BCH-2022-0148,Chickpea Snacks,Line D,2022-08-29 00:00:00,Aug-2022,Karthik V.,4.61,4.5,6.5,PASS,1.5,3.5,PASS,92.4,92,PASS,PASS
PHY-0149,BCH-2022-0149,Banana Chips,Line E,2022-08-30 00:00:00,Aug-2022,Divya N.,4.75,4.5,6.5,PASS,2.54,3.5,PASS,99.1,92,PASS,PASS
PHY-0150,BCH-2022-0150,Sweet Potato Chips,Line F,2022-08-31 00:00:00,Aug-2022,Suresh B.,5.88,4.5,6.5,PASS,2.29,3.5,PASS,96.5,92,PASS,PASS
PHY-0151,BCH-2022-0151,Masala Peanuts,Line A,2022-09-01 00:00:00,Aug-2022,Leena D.,5.29,4.5,6.5,PASS,1.63,3.5,PASS,94.9,92,PASS,PASS
PHY-0152,BCH-2022-0152,Tapioca Crisps,Line B,2022-09-03 00:00:00,Sep-2022,Sagar A.,4.91,4.5,6.5,PASS,6.51,3.5,FAIL,95.2,92,PASS,FAIL
PHY-0153,BCH-2022-0153,Jackfruit Chips,Line C,2022-09-04 00:00:00,Sep-2022,Priya S.,5.03,4.5,6.5,PASS,2.25,3.5,PASS,98.3,92,PASS,PASS
PHY-0154,BCH-2022-0154,Okra Chips,Line D,2022-09-05 00:00:00,Sep-2022,Anand M.,4.67,4.5,6.5,PASS,3.39,3.5,PASS,98.5,92,PASS,PASS
PHY-0155,BCH-2022-0155,Roasted Corn,Line E,2022-09-06 00:00:00,Sep-2022,Meena R.,5.07,4.5,6.5,PASS,3.65,3.5,FAIL,98.7,92,PASS,FAIL
PHY-0156,BCH-2022-0156,Chickpea Snacks,Line F,2022-09-07 00:00:00,Sep-2022,Karthik V.,5.99,4.5,6.5,PASS,3.78,3.5,FAIL,95.3,92,PASS,FAIL
PHY-0157,BCH-2022-0157,Banana Chips,Line A,2022-09-08 00:00:00,Sep-2022,Divya N.,6.25,4.5,6.5,PASS,2.86,3.5,PASS,92.3,92,PASS,PASS
PHY-0158,BCH-2022-0158,Sweet Potato Chips,Line B,2022-09-10 00:00:00,Sep-2022,Suresh B.,5.78,4.5,6.5,PASS,2.35,3.5,PASS,94.0,92,PASS,PASS
PHY-0159,BCH-2022-0159,Masala Peanuts,Line C,2022-09-11 00:00:00,Sep-2022,Leena D.,4.08,4.5,6.5,FAIL,1.04,3.5,PASS,95.1,92,PASS,FAIL
PHY-0160,BCH-2022-0160,Tapioca Crisps,Line D,2022-09-12 00:00:00,Sep-2022,Sagar A.,4.85,4.5,6.5,PASS,3.4,3.5,PASS,92.2,92,PASS,PASS
PHY-0161,BCH-2022-0161,Jackfruit Chips,Line E,2022-09-13 00:00:00,Sep-2022,Priya S.,5.07,4.5,6.5,PASS,1.57,3.5,PASS,97.5,92,PASS,PASS
PHY-0162,BCH-2022-0162,Okra Chips,Line F,2022-09-16 00:00:00,Sep-2022,Anand M.,4.52,4.5,6.5,PASS,1.58,3.5,PASS,95.7,92,PASS,PASS
PHY-0163,BCH-2022-0163,Roasted Corn,Line A,2022-09-17 00:00:00,Sep-2022,Meena R.,3.1,4.5,6.5,FAIL,6.1,3.5,FAIL,93.8,92,PASS,FAIL
PHY-0164,BCH-2022-0164,Chickpea Snacks,Line B,2022-09-20 00:00:00,Sep-2022,Karthik V.,5.88,4.5,6.5,PASS,1.3,3.5,PASS,95.2,92,PASS,PASS
PHY-0165,BCH-2022-0165,Banana Chips,Line C,2022-09-27 00:00:00,Sep-2022,Divya N.,4.75,4.5,6.5,PASS,1.33,3.5,PASS,95.8,92,PASS,PASS
PHY-0166,BCH-2022-0166,Sweet Potato Chips,Line D,2022-09-28 00:00:00,Sep-2022,Suresh B.,5.34,4.5,6.5,PASS,2.54,3.5,PASS,95.4,92,PASS,PASS
PHY-0167,BCH-2022-0167,Masala Peanuts,Line E,2022-09-29 00:00:00,Sep-2022,Leena D.,4.71,4.5,6.5,PASS,1.42,3.5,PASS,93.8,92,PASS,PASS
PHY-0168,BCH-2022-0168,Tapioca Crisps,Line F,2022-09-30 00:00:00,Sep-2022,Sagar A.,5.74,4.5,6.5,PASS,2.76,3.5,PASS,93.8,92,PASS,PASS
PHY-0169,BCH-2022-0169,Jackfruit Chips,Line A,2022-10-02 00:00:00,Oct-2022,Priya S.,5.8,4.5,6.5,PASS,1.58,3.5,PASS,95.5,92,PASS,PASS
PHY-0170,BCH-2022-0170,Okra Chips,Line B,2022-10-04 00:00:00,Oct-2022,Anand M.,6.05,4.5,6.5,PASS,3.17,3.5,PASS,95.3,92,PASS,PASS
PHY-0171,BCH-2022-0171,Roasted Corn,Line C,2022-10-05 00:00:00,Oct-2022,Meena R.,5.63,4.5,6.5,PASS,0.91,3.5,PASS,93.1,92,PASS,PASS
PHY-0172,BCH-2022-0172,Chickpea Snacks,Line D,2022-10-06 00:00:00,Oct-2022,Karthik V.,5.08,4.5,6.5,PASS,1.0,3.5,PASS,95.3,92,PASS,PASS
PHY-0173,BCH-2022-0173,Banana Chips,Line E,2022-10-09 00:00:00,Oct-2022,Divya N.,4.97,4.5,6.5,PASS,1.81,3.5,PASS,97.7,92,PASS,PASS
PHY-0174,BCH-2022-0174,Sweet Potato Chips,Line F,2022-10-10 00:00:00,Oct-2022,Suresh B.,5.99,4.5,6.5,PASS,2.26,3.5,PASS,94.3,92,PASS,PASS
PHY-0175,BCH-2022-0175,Masala Peanuts,Line A,2022-10-12 00:00:00,Oct-2022,Leena D.,4.53,4.5,6.5,PASS,3.02,3.5,PASS,98.3,92,PASS,PASS
PHY-0176,BCH-2022-0176,Tapioca Crisps,Line B,2022-10-14 00:00:00,Oct-2022,Sagar A.,6.03,4.5,6.5,PASS,1.78,3.5,PASS,92.5,92,PASS,PASS
PHY-0177,BCH-2022-0177,Jackfruit Chips,Line C,2022-10-15 00:00:00,Oct-2022,Priya S.,4.54,4.5,6.5,PASS,1.49,3.5,PASS,93.3,92,PASS,PASS
PHY-0178,BCH-2022-0178,Okra Chips,Line D,2022-10-16 00:00:00,Oct-2022,Anand M.,3.32,4.5,6.5,FAIL,1.9,3.5,PASS,95.9,92,PASS,FAIL
PHY-0179,BCH-2022-0179,Roasted Corn,Line E,2022-10-17 00:00:00,Oct-2022,Meena R.,3.05,4.5,6.5,FAIL,1.89,3.5,PASS,94.0,92,PASS,FAIL
PHY-0180,BCH-2022-0180,Chickpea Snacks,Line F,2022-10-18 00:00:00,Oct-2022,Karthik V.,3.61,4.5,6.5,FAIL,3.2,3.5,PASS,94.5,92,PASS,FAIL
PHY-0181,BCH-2022-0181,Banana Chips,Line A,2022-10-21 00:00:00,Oct-2022,Divya N.,6.14,4.5,6.5,PASS,2.37,3.5,PASS,85.4,92,FAIL,FAIL
PHY-0182,BCH-2022-0182,Sweet Potato Chips,Line B,2022-10-22 00:00:00,Oct-2022,Suresh B.,3.8,4.5,6.5,FAIL,2.62,3.5,PASS,94.0,92,PASS,FAIL
PHY-0183,BCH-2022-0183,Masala Peanuts,Line C,2022-10-24 00:00:00,Oct-2022,Leena D.,5.17,4.5,6.5,PASS,9.44,3.5,FAIL,95.6,92,PASS,FAIL
PHY-0184,BCH-2022-0184,Tapioca Crisps,Line D,2022-10-27 00:00:00,Oct-2022,Sagar A.,5.88,4.5,6.5,PASS,2.66,3.5,PASS,98.0,92,PASS,PASS
PHY-0185,BCH-2022-0185,Jackfruit Chips,Line E,2022-11-01 00:00:00,Oct-2022,Priya S.,4.5,4.5,6.5,PASS,2.41,3.5,PASS,92.8,92,PASS,PASS
PHY-0186,BCH-2022-0186,Okra Chips,Line F,2022-11-02 00:00:00,Nov-2022,Anand M.,5.41,4.5,6.5,PASS,2.59,3.5,PASS,98.5,92,PASS,PASS
PHY-0187,BCH-2022-0187,Roasted Corn,Line A,2022-11-03 00:00:00,Nov-2022,Meena R.,6.26,4.5,6.5,PASS,1.07,3.5,PASS,98.8,92,PASS,PASS
PHY-0188,BCH-2022-0188,Chickpea Snacks,Line B,2022-11-06 00:00:00,Nov-2022,Karthik V.,5.19,4.5,6.5,PASS,1.99,3.5,PASS,93.0,92,PASS,PASS
PHY-0189,BCH-2022-0189,Banana Chips,Line C,2022-11-07 00:00:00,Nov-2022,Divya N.,6.06,4.5,6.5,PASS,1.26,3.5,PASS,92.3,92,PASS,PASS
PHY-0190,BCH-2022-0190,Sweet Potato Chips,Line D,2022-11-08 00:00:00,Nov-2022,Suresh B.,4.65,4.5,6.5,PASS,2.46,3.5,PASS,93.5,92,PASS,PASS
PHY-0191,BCH-2022-0191,Masala Peanuts,Line E,2022-11-09 00:00:00,Nov-2022,Leena D.,5.41,4.5,6.5,PASS,1.12,3.5,PASS,95.0,92,PASS,PASS
PHY-0192,BCH-2022-0192,Tapioca Crisps,Line F,2022-11-11 00:00:00,Nov-2022,Sagar A.,4.79,4.5,6.5,PASS,1.82,3.5,PASS,97.9,92,PASS,PASS
PHY-0193,BCH-2022-0193,Jackfruit Chips,Line A,2022-11-12 00:00:00,Nov-2022,Priya S.,5.51,4.5,6.5,PASS,2.92,3.5,PASS,95.0,92,PASS,PASS
PHY-0194,BCH-2022-0194,Okra Chips,Line B,2022-11-15 00:00:00,Nov-2022,Anand M.,6.16,4.5,6.5,PASS,1.44,3.5,PASS,94.4,92,PASS,PASS
PHY-0195,BCH-2022-0195,Roasted Corn,Line C,2022-11-16 00:00:00,Nov-2022,Meena R.,5.86,4.5,6.5,PASS,1.0,3.5,PASS,98.2,92,PASS,PASS
PHY-0196,BCH-2022-0196,Chickpea Snacks,Line D,2022-11-17 00:00:00,Nov-2022,Karthik V.,4.65,4.5,6.5,PASS,1.56,3.5,PASS,86.7,92,FAIL,FAIL
PHY-0197,BCH-2022-0197,Banana Chips,Line E,2022-11-18 00:00:00,Nov-2022,Divya N.,5.73,4.5,6.5,PASS,1.17,3.5,PASS,92.9,92,PASS,PASS
PHY-0198,BCH-2022-0198,Sweet Potato Chips,Line F,2022-11-19 00:00:00,Nov-2022,Suresh B.,5.55,4.5,6.5,PASS,2.68,3.5,PASS,92.6,92,PASS,PASS
PHY-0199,BCH-2022-0199,Masala Peanuts,Line A,2022-11-20 00:00:00,Nov-2022,Leena D.,5.22,4.5,6.5,PASS,2.54,3.5,PASS,92.2,92,PASS,PASS
PHY-0200,BCH-2022-0200,Tapioca Crisps,Line B,2022-11-22 00:00:00,Nov-2022,Sagar A.,5.41,4.5,6.5,PASS,2.14,3.5,PASS,93.4,92,PASS,PASS
PHY-0201,BCH-2022-0201,Jackfruit Chips,Line C,2022-11-23 00:00:00,Nov-2022,Priya S.,5.09,4.5,6.5,PASS,2.72,3.5,PASS,93.6,92,PASS,PASS
PHY-0202,BCH-2022-0202,Okra Chips,Line D,2022-11-24 00:00:00,Nov-2022,Anand M.,6.27,4.5,6.5,PASS,1.37,3.5,PASS,97.8,92,PASS,PASS
PHY-0203,BCH-2022-0203,Roasted Corn,Line E,2022-11-25 00:00:00,Nov-2022,Meena R.,5.69,4.5,6.5,PASS,1.17,3.5,PASS,93.3,92,PASS,PASS
PHY-0204,BCH-2022-0204,Chickpea Snacks,Line F,2022-11-26 00:00:00,Nov-2022,Karthik V.,5.45,4.5,6.5,PASS,3.77,3.5,FAIL,97.0,92,PASS,FAIL
PHY-0205,BCH-2022-0205,Banana Chips,Line A,2022-11-27 00:00:00,Nov-2022,Divya N.,4.93,4.5,6.5,PASS,1.25,3.5,PASS,99.1,92,PASS,PASS
PHY-0206,BCH-2022-0206,Sweet Potato Chips,Line B,2022-11-29 00:00:00,Nov-2022,Suresh B.,6.16,4.5,6.5,PASS,2.52,3.5,PASS,97.7,92,PASS,PASS
PHY-0207,BCH-2022-0207,Masala Peanuts,Line C,2022-12-04 00:00:00,Dec-2022,Leena D.,4.7,4.5,6.5,PASS,9.81,3.5,FAIL,96.6,92,PASS,FAIL
PHY-0208,BCH-2022-0208,Tapioca Crisps,Line D,2022-12-05 00:00:00,Dec-2022,Sagar A.,6.37,4.5,6.5,PASS,2.08,3.5,PASS,94.0,92,PASS,PASS
PHY-0209,BCH-2022-0209,Jackfruit Chips,Line E,2022-12-07 00:00:00,Dec-2022,Priya S.,5.84,4.5,6.5,PASS,5.36,3.5,FAIL,98.5,92,PASS,FAIL
PHY-0210,BCH-2022-0210,Okra Chips,Line F,2022-12-08 00:00:00,Dec-2022,Anand M.,4.81,4.5,6.5,PASS,2.11,3.5,PASS,95.8,92,PASS,PASS
PHY-0211,BCH-2022-0211,Roasted Corn,Line A,2022-12-11 00:00:00,Dec-2022,Meena R.,6.31,4.5,6.5,PASS,2.7,3.5,PASS,93.4,92,PASS,PASS
PHY-0212,BCH-2022-0212,Chickpea Snacks,Line B,2022-12-12 00:00:00,Dec-2022,Karthik V.,5.18,4.5,6.5,PASS,2.4,3.5,PASS,94.0,92,PASS,PASS
PHY-0213,BCH-2022-0213,Banana Chips,Line C,2022-12-19 00:00:00,Dec-2022,Divya N.,5.35,4.5,6.5,PASS,6.42,3.5,FAIL,93.3,92,PASS,FAIL
PHY-0214,BCH-2022-0214,Sweet Potato Chips,Line D,2022-12-20 00:00:00,Dec-2022,Suresh B.,5.11,4.5,6.5,PASS,1.75,3.5,PASS,95.8,92,PASS,PASS
PHY-0215,BCH-2022-0215,Masala Peanuts,Line E,2022-12-21 00:00:00,Dec-2022,Leena D.,5.33,4.5,6.5,PASS,1.2,3.5,PASS,93.8,92,PASS,PASS
PHY-0216,BCH-2022-0216,Tapioca Crisps,Line F,2022-12-22 00:00:00,Dec-2022,Sagar A.,5.69,4.5,6.5,PASS,1.45,3.5,PASS,97.9,92,PASS,PASS
PHY-0217,BCH-2022-0217,Jackfruit Chips,Line A,2022-12-23 00:00:00,Dec-2022,Priya S.,6.15,4.5,6.5,PASS,1.41,3.5,PASS,98.3,92,PASS,PASS
PHY-0218,BCH-2022-0218,Okra Chips,Line B,2022-12-24 00:00:00,Dec-2022,Anand M.,4.59,4.5,6.5,PASS,1.28,3.5,PASS,93.8,92,PASS,PASS
PHY-0219,BCH-2022-0219,Roasted Corn,Line C,2022-12-25 00:00:00,Dec-2022,Meena R.,5.25,4.5,6.5,PASS,2.35,3.5,PASS,97.9,92,PASS,PASS
PHY-0220,BCH-2022-0220,Chickpea Snacks,Line D,2022-12-26 00:00:00,Dec-2022,Karthik V.,5.51,4.5,6.5,PASS,3.17,3.5,PASS,97.5,92,PASS,PASS
PHY-0221,BCH-2022-0221,Banana Chips,Line E,2022-12-27 00:00:00,Dec-2022,Divya N.,3.61,4.5,6.5,FAIL,4.14,3.5,FAIL,99.1,92,PASS,FAIL
PHY-0222,BCH-2022-0222,Sweet Potato Chips,Line F,2022-12-28 00:00:00,Dec-2022,Suresh B.,4.53,4.5,6.5,PASS,4.1,3.5,FAIL,96.1,92,PASS,FAIL
PHY-0223,BCH-2022-0223,Masala Peanuts,Line A,2023-01-02 00:00:00,Jan-2023,Leena D.,5.18,4.5,6.5,PASS,1.96,3.5,PASS,95.0,92,PASS,PASS
PHY-0224,BCH-2022-0224,Tapioca Crisps,Line B,2023-01-03 00:00:00,Jan-2023,Sagar A.,3.83,4.5,6.5,FAIL,1.26,3.5,PASS,95.5,92,PASS,FAIL
PHY-0225,BCH-2022-0225,Jackfruit Chips,Line C,2023-01-04 00:00:00,Jan-2023,Priya S.,4.56,4.5,6.5,PASS,2.4,3.5,PASS,97.4,92,PASS,PASS
PHY-0226,BCH-2022-0226,Okra Chips,Line D,2023-01-11 00:00:00,Jan-2023,Anand M.,6.06,4.5,6.5,PASS,1.94,3.5,PASS,95.0,92,PASS,PASS
PHY-0227,BCH-2022-0227,Roasted Corn,Line E,2023-01-12 00:00:00,Jan-2023,Meena R.,4.84,4.5,6.5,PASS,1.66,3.5,PASS,93.1,92,PASS,PASS
PHY-0228,BCH-2022-0228,Chickpea Snacks,Line F,2023-01-15 00:00:00,Jan-2023,Karthik V.,5.45,4.5,6.5,PASS,1.0,3.5,PASS,96.8,92,PASS,PASS
PHY-0229,BCH-2022-0229,Banana Chips,Line A,2023-01-16 00:00:00,Jan-2023,Divya N.,5.16,4.5,6.5,PASS,1.96,3.5,PASS,98.4,92,PASS,PASS
PHY-0230,BCH-2022-0230,Sweet Potato Chips,Line B,2023-01-18 00:00:00,Jan-2023,Suresh B.,6.2,4.5,6.5,PASS,1.46,3.5,PASS,96.0,92,PASS,PASS
PHY-0231,BCH-2022-0231,Masala Peanuts,Line C,2023-01-20 00:00:00,Jan-2023,Leena D.,4.64,4.5,6.5,PASS,1.51,3.5,PASS,94.0,92,PASS,PASS
PHY-0232,BCH-2022-0232,Tapioca Crisps,Line D,2023-01-21 00:00:00,Jan-2023,Sagar A.,6.2,4.5,6.5,PASS,1.67,3.5,PASS,99.0,92,PASS,PASS
PHY-0233,BCH-2022-0233,Jackfruit Chips,Line E,2023-01-22 00:00:00,Jan-2023,Priya S.,6.34,4.5,6.5,PASS,1.03,3.5,PASS,96.7,92,PASS,PASS
PHY-0234,BCH-2022-0234,Okra Chips,Line F,2023-01-23 00:00:00,Jan-2023,Anand M.,6.16,4.5,6.5,PASS,2.21,3.5,PASS,94.0,92,PASS,PASS
PHY-0235,BCH-2022-0235,Roasted Corn,Line A,2023-01-24 00:00:00,Jan-2023,Meena R.,5.74,4.5,6.5,PASS,4.94,3.5,FAIL,96.7,92,PASS,FAIL
PHY-0236,BCH-2022-0236,Chickpea Snacks,Line B,2023-01-25 00:00:00,Jan-2023,Karthik V.,5.18,4.5,6.5,PASS,1.35,3.5,PASS,96.4,92,PASS,PASS
PHY-0237,BCH-2022-0237,Banana Chips,Line C,2023-01-27 00:00:00,Jan-2023,Divya N.,4.78,4.5,6.5,PASS,1.82,3.5,PASS,94.6,92,PASS,PASS
PHY-0238,BCH-2022-0238,Sweet Potato Chips,Line D,2023-01-28 00:00:00,Jan-2023,Suresh B.,5.16,4.5,6.5,PASS,2.94,3.5,PASS,97.6,92,PASS,PASS
PHY-0239,BCH-2022-0239,Masala Peanuts,Line E,2023-01-29 00:00:00,Jan-2023,Leena D.,5.61,4.5,6.5,PASS,1.99,3.5,PASS,95.9,92,PASS,PASS
PHY-0240,BCH-2022-0240,Tapioca Crisps,Line F,2023-01-31 00:00:00,Jan-2023,Sagar A.,4.67,4.5,6.5,PASS,2.03,3.5,PASS,99.0,92,PASS,PASS
PHY-0241,BCH-2022-0241,Jackfruit Chips,Line A,2023-02-01 00:00:00,Jan-2023,Priya S.,5.3,4.5,6.5,PASS,2.04,3.5,PASS,98.9,92,PASS,PASS
PHY-0242,BCH-2022-0242,Okra Chips,Line B,2023-02-02 00:00:00,Feb-2023,Anand M.,5.02,4.5,6.5,PASS,3.04,3.5,PASS,93.8,92,PASS,PASS
PHY-0243,BCH-2022-0243,Roasted Corn,Line C,2023-02-03 00:00:00,Feb-2023,Meena R.,6.36,4.5,6.5,PASS,9.11,3.5,FAIL,93.8,92,PASS,FAIL
PHY-0244,BCH-2022-0244,Chickpea Snacks,Line D,2023-02-04 00:00:00,Feb-2023,Karthik V.,5.99,4.5,6.5,PASS,1.92,3.5,PASS,92.9,92,PASS,PASS
PHY-0245,BCH-2022-0245,Banana Chips,Line E,2023-02-05 00:00:00,Feb-2023,Divya N.,5.9,4.5,6.5,PASS,1.47,3.5,PASS,92.2,92,PASS,PASS
PHY-0246,BCH-2022-0246,Sweet Potato Chips,Line F,2023-02-06 00:00:00,Feb-2023,Suresh B.,5.61,4.5,6.5,PASS,1.0,3.5,PASS,92.4,92,PASS,PASS
PHY-0247,BCH-2022-0247,Masala Peanuts,Line A,2023-02-07 00:00:00,Feb-2023,Leena D.,5.09,4.5,6.5,PASS,1.86,3.5,PASS,97.9,92,PASS,PASS
PHY-0248,BCH-2022-0248,Tapioca Crisps,Line B,2023-02-08 00:00:00,Feb-2023,Sagar A.,5.73,4.5,6.5,PASS,1.56,3.5,PASS,99.0,92,PASS,PASS
PHY-0249,BCH-2022-0249,Jackfruit Chips,Line C,2023-02-09 00:00:00,Feb-2023,Priya S.,4.54,4.5,6.5,PASS,1.8,3.5,PASS,92.2,92,PASS,PASS
PHY-0250,BCH-2022-0250,Okra Chips,Line D,2023-02-11 00:00:00,Feb-2023,Anand M.,4.81,4.5,6.5,PASS,2.65,3.5,PASS,95.1,92,PASS,PASS
PHY-0251,BCH-2022-0251,Roasted Corn,Line E,2023-02-12 00:00:00,Feb-2023,Meena R.,5.3,4.5,6.5,PASS,4.57,3.5,FAIL,93.1,92,PASS,FAIL
PHY-0252,BCH-2022-0252,Chickpea Snacks,Line F,2023-02-17 00:00:00,Feb-2023,Karthik V.,6.07,4.5,6.5,PASS,1.98,3.5,PASS,98.8,92,PASS,PASS
PHY-0253,BCH-2022-0253,Banana Chips,Line A,2023-02-20 00:00:00,Feb-2023,Divya N.,4.64,4.5,6.5,PASS,2.77,3.5,PASS,92.3,92,PASS,PASS
PHY-0254,BCH-2022-0254,Sweet Potato Chips,Line B,2023-02-22 00:00:00,Feb-2023,Suresh B.,6.2,4.5,6.5,PASS,1.2,3.5,PASS,95.7,92,PASS,PASS
PHY-0255,BCH-2022-0255,Masala Peanuts,Line C,2023-02-23 00:00:00,Feb-2023,Leena D.,5.2,4.5,6.5,PASS,1.12,3.5,PASS,94.7,92,PASS,PASS
PHY-0256,BCH-2022-0256,Tapioca Crisps,Line D,2023-02-24 00:00:00,Feb-2023,Sagar A.,5.89,4.5,6.5,PASS,2.25,3.5,PASS,97.9,92,PASS,PASS
PHY-0257,BCH-2022-0257,Jackfruit Chips,Line E,2023-02-26 00:00:00,Feb-2023,Priya S.,4.9,4.5,6.5,PASS,1.24,3.5,PASS,95.1,92,PASS,PASS
PHY-0258,BCH-2022-0258,Okra Chips,Line F,2023-02-27 00:00:00,Feb-2023,Anand M.,5.82,4.5,6.5,PASS,1.03,3.5,PASS,98.6,92,PASS,PASS
PHY-0259,BCH-2022-0259,Roasted Corn,Line A,2023-03-04 00:00:00,Mar-2023,Meena R.,5.6,4.5,6.5,PASS,2.36,3.5,PASS,97.2,92,PASS,PASS
PHY-0260,BCH-2022-0260,Chickpea Snacks,Line B,2023-03-05 00:00:00,Mar-2023,Karthik V.,5.14,4.5,6.5,PASS,3.07,3.5,PASS,97.6,92,PASS,PASS
PHY-0261,BCH-2022-0261,Banana Chips,Line C,2023-03-06 00:00:00,Mar-2023,Divya N.,5.54,4.5,6.5,PASS,9.99,3.5,FAIL,93.1,92,PASS,FAIL
PHY-0262,BCH-2022-0262,Sweet Potato Chips,Line D,2023-03-08 00:00:00,Mar-2023,Suresh B.,6.07,4.5,6.5,PASS,1.9,3.5,PASS,98.1,92,PASS,PASS
PHY-0263,BCH-2022-0263,Masala Peanuts,Line E,2023-03-13 00:00:00,Mar-2023,Leena D.,5.7,4.5,6.5,PASS,2.99,3.5,PASS,96.7,92,PASS,PASS
PHY-0264,BCH-2022-0264,Tapioca Crisps,Line F,2023-03-14 00:00:00,Mar-2023,Sagar A.,5.73,4.5,6.5,PASS,2.82,3.5,PASS,97.3,92,PASS,PASS
PHY-0265,BCH-2022-0265,Jackfruit Chips,Line A,2023-03-15 00:00:00,Mar-2023,Priya S.,5.96,4.5,6.5,PASS,1.63,3.5,PASS,94.9,92,PASS,PASS
PHY-0266,BCH-2022-0266,Okra Chips,Line B,2023-03-17 00:00:00,Mar-2023,Anand M.,5.87,4.5,6.5,PASS,1.9,3.5,PASS,95.2,92,PASS,PASS
PHY-0267,BCH-2022-0267,Roasted Corn,Line C,2023-03-18 00:00:00,Mar-2023,Meena R.,5.23,4.5,6.5,PASS,2.29,3.5,PASS,94.3,92,PASS,PASS
PHY-0268,BCH-2022-0268,Chickpea Snacks,Line D,2023-03-19 00:00:00,Mar-2023,Karthik V.,5.25,4.5,6.5,PASS,4.48,3.5,FAIL,95.3,92,PASS,FAIL
PHY-0269,BCH-2022-0269,Banana Chips,Line E,2023-03-20 00:00:00,Mar-2023,Divya N.,4.75,4.5,6.5,PASS,2.68,3.5,PASS,94.4,92,PASS,PASS
PHY-0270,BCH-2022-0270,Sweet Potato Chips,Line F,2023-03-22 00:00:00,Mar-2023,Suresh B.,5.86,4.5,6.5,PASS,2.53,3.5,PASS,95.7,92,PASS,PASS
PHY-0271,BCH-2022-0271,Masala Peanuts,Line A,2023-03-23 00:00:00,Mar-2023,Leena D.,5.71,4.5,6.5,PASS,2.64,3.5,PASS,92.3,92,PASS,PASS
PHY-0272,BCH-2022-0272,Tapioca Crisps,Line B,2023-03-24 00:00:00,Mar-2023,Sagar A.,5.04,4.5,6.5,PASS,2.52,3.5,PASS,94.9,92,PASS,PASS
PHY-0273,BCH-2022-0273,Jackfruit Chips,Line C,2023-03-27 00:00:00,Mar-2023,Priya S.,6.14,4.5,6.5,PASS,1.72,3.5,PASS,99.0,92,PASS,PASS
PHY-0274,BCH-2022-0274,Okra Chips,Line D,2023-03-28 00:00:00,Mar-2023,Anand M.,5.07,4.5,6.5,PASS,2.69,3.5,PASS,95.1,92,PASS,PASS
PHY-0275,BCH-2022-0275,Roasted Corn,Line E,2023-03-29 00:00:00,Mar-2023,Meena R.,5.26,4.5,6.5,PASS,1.61,3.5,PASS,93.6,92,PASS,PASS
PHY-0276,BCH-2022-0276,Chickpea Snacks,Line F,2023-03-30 00:00:00,Mar-2023,Karthik V.,5.51,4.5,6.5,PASS,2.28,3.5,PASS,92.3,92,PASS,PASS
PHY-0277,BCH-2022-0277,Banana Chips,Line A,2023-03-31 00:00:00,Mar-2023,Divya N.,4.11,4.5,6.5,FAIL,1.33,3.5,PASS,95.0,92,PASS,FAIL
PHY-0278,BCH-2022-0278,Sweet Potato Chips,Line B,2023-04-07 00:00:00,Apr-2023,Suresh B.,5.27,4.5,6.5,PASS,3.26,3.5,PASS,92.6,92,PASS,PASS
PHY-0279,BCH-2022-0279,Masala Peanuts,Line C,2023-04-08 00:00:00,Apr-2023,Leena D.,6.07,4.5,6.5,PASS,2.12,3.5,PASS,92.9,92,PASS,PASS
